contract_address,blockchain,type,protocol_name,protocol_symbol,description,website_url
0x1e4f97b9f9f913c46f1632781732927b9019c68b,fantom,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,arbitrum-one,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
0xd3319eaf3c4743ac75aace77befcfa445ed6e69e,energi,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
0x002ead91a2de57b8855b53d4a62c25277073fd7f65f7e5e79f4936ed747fcad0,sora,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
0xba100000625a3754423978a60c9317c58a424e3d,ethereum,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x7ef541e2a22058048904fe5744f9c7e4c57af717,xdai,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x120ef59b80774f02211563834d8e3b72cb1649d6,polygon-zkevm,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921,optimistic-ethereum,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
ba100000625a3754423978a60c9317c58a424e3d.factory.bridge.near,near-protocol,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x4158734d47fc9692176b5085e0f52ee0da5d47f1,base,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0xdc5f76104d0b8d2bf2c2bbe06cdfe17004e9010f,harmony-shard-0,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x045de15ca76e76426e8fc7cba8392a3138078d0f,huobi-token,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3,polygon-pos,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8,arbitrum-one,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0xe15bcb9e0ea69e6ab9fa080c4c4a5632896298c3,avalanche,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x9b817c6e9a38e604606aea3ad6ed271ce8eaa9d6,energi,DEX,Balancer,bal,"Balancer is a DeFi protocol that provides permissionless technology to streamline AMM development for developers and empower liquidity providers with an ever-expanding DEX product suite.

This is made possible by unique ‘Vault’ architecture that fo",https://balancer.finance/
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,ethereum,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0x76fb31fb4af56892a25e32cfc43de717950c9278,optimistic-ethereum,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.factory.bridge.near,near-protocol,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0x202b4936fe1a82a4965220860ae46d7d3939bb25,huobi-token,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0xd6df932a45c0f255f85145f286ea0b292b21c90b,polygon-pos,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0x6a07a792ab2965c72a5b8088d3a069a7ac3a993b,fantom,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0xcf323aad9e522b93f11c352caa519ad0e14eb40f,harmony-shard-0,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0xba5ddd1f9d7f570dc94a51479a000e3bce967196,arbitrum-one,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0x63a72806098bd3d9520cc43356dd78afe5d386d9,avalanche,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0xa7f2f790355e0c32cab03f92f6eb7f488e6f049a,energi,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0x0091bd8d8295b25cab5a7b8b0e44498e678cfc15d872ede3215f7d4c7635ba36,sora,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0xfb6115445bff7b52feb98650c87f44907e58f802,binance-smart-chain,Lending,Aave,aave,"Aave is a decentralized money market protocol where users can lend and borrow cryptocurrency across 20 different assets as collateral. The protocol has a native token called AAVE, which is also a governance token that lets the community decide the di",https://app.aave.com/
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,ethereum,Lending,Maker,mkr,MKR is a cryptocurrency depicted as a smart contract platform and works alongside the Dai coin and aims to act as a hedge currency that provides traders with a stable alternative to the majority of coins currently available on the market. Maker offer,https://makerdao.com/
0x6f7c932e7684666c9fd1d44527765433e01ff61d,polygon-pos,Lending,Maker,mkr,MKR is a cryptocurrency depicted as a smart contract platform and works alongside the Dai coin and aims to act as a hedge currency that provides traders with a stable alternative to the majority of coins currently available on the market. Maker offer,https://makerdao.com/
0x88128fd4b259552a9a1d457f435a6527aab72d42,avalanche,Lending,Maker,mkr,MKR is a cryptocurrency depicted as a smart contract platform and works alongside the Dai coin and aims to act as a hedge currency that provides traders with a stable alternative to the majority of coins currently available on the market. Maker offer,https://makerdao.com/
0x050317d93f29d1ba5ff3eac3b8157fd4e345588d,energi,Lending,Maker,mkr,MKR is a cryptocurrency depicted as a smart contract platform and works alongside the Dai coin and aims to act as a hedge currency that provides traders with a stable alternative to the majority of coins currently available on the market. Maker offer,https://makerdao.com/
0x00ec184ef0b4bd955db05eea5a8489ae72888ab6e63682a15beca1cd39344c8f,sora,Lending,Maker,mkr,MKR is a cryptocurrency depicted as a smart contract platform and works alongside the Dai coin and aims to act as a hedge currency that provides traders with a stable alternative to the majority of coins currently available on the market. Maker offer,https://makerdao.com/
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,ethereum,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0xbf65bfcb5da067446cee6a706ba3fe2fb1a9fdfd,xdai,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x9046d36440290ffde54fe0dd84db8b1cfee9107b,optimistic-ethereum,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0bc529c00c6401aef6d220be8c6ea1667f6ad93e.factory.bridge.near,near-protocol,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x9eaf8c1e34f05a589eda6bafdf391cf6ad3cb239,base,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x2726dd5efb3a209a54c512e9562a2045b8f45dbc,energi,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0xb4f019beac758abbee2f906033aaa2f0f6dacb35,huobi-token,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0xda537104d6a5edd53c6fbba9a898708e465260b6,polygon-pos,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x29b0da86e484e1c0029b56e817912d778ac0ec69,fantom,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x82e3a8f066a6989666b031d916c43672085b1582,arbitrum-one,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0xa0dc05f84a27fccbd341305839019ab86576bc07,harmony-shard-0,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x9eaac1b23d935365bd7b542fe22ceee2922f52dc,avalanche,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0x002676c3edea5b08bc0f9b6809a91aa313b7da35e28b190222e9dc032bf1e662,sora,Yield Farming,yearn.finance,yfi,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI ho",https://yearn.fi/
0xa0246c9032bc3a600820415ae600c6388619a14d,ethereum,Yield Farming,Harvest Finance,farm,"Harvest automatically farms the highest yields in DeFi

",https://harvest.finance/
0x4b5c23cac08a567ecf0c1ffca8372a45a5d33743,binance-smart-chain,Yield Farming,Harvest Finance,farm,"Harvest automatically farms the highest yields in DeFi

",https://harvest.finance/
0xc59a4b20ea0f8a7e6e216e7f1b070247520a4514,energi,Yield Farming,Harvest Finance,farm,"Harvest automatically farms the highest yields in DeFi

",https://harvest.finance/
0x6b175474e89094c44da98b954eedeac495271d0f,ethereum,Stablecoin,Dai,dai,"MakerDAO has launched Multi-collateral DAI (MCD). This token refers to the new DAI that is collaterized by multiple assets.
",https://makerdao.com/
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0x1d17cbcf0d6d143135ae902365d2e5e2a16538d4,zksync,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0x0b2c639c533813f4aa9d7837caf62653d097ff85,optimistic-ethereum,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
1337,polkadot,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8,tron,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,near-protocol,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0.0.456858,hedera-hashgraph,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,base,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arbitrum-one,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,polygon-pos,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b,aptos,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC,sui,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
31566704,algorand,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,avalanche,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,stellar,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0xceba9300f2b948710d2653dd7b07f33a8b32118c,celo,Stablecoin,USDC,usdc,"USDC is a fully collateralized US dollar stablecoin. USDC is the bridge between dollars and trading on cryptocurrency exchanges. The technology behind CENTRE makes it possible to exchange value between people, businesses and financial institutions ju",https://www.circle.com/en/usdc
0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b,aptos,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,tron,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,avalanche,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
usdt.tether-token.near,near-protocol,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
0x919c1c267bc06a7039e03fcc2ef738525769109c,kava,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
0x48065fbbe25f71c9282ddf5e1cd6d6a887483d5e,celo,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs,the-open-network,Stablecoin,Tether,usdt,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U.S. dollar. The idea was to create a stable cryptocurrency that can be used like digital dollars. Coins that serve this purpose of being a stable dollar substitute are c,https://tether.to/
0x09d6f0f5a21f5be4f59e209747e2d07f50bc694c,ethereum,NFT-Fi,NFTFI,nftfi,"NFTFI is the governance token of the NFTfi protocol, which has the vision of becoming the primary NFT finance settlement layer across all major chains. ",https://nftfifoundation.org/
